Date,Council,Positive_Cases_per_LA
2021-01-26,Shetland Islands,0
2021-01-26,South Ayrshire,20
2021-01-26,South Lanarkshire,81
2021-01-26,Stirling,17
2021-01-26,West Dunbartonshire,23
2021-01-26,West Lothian,35
2021-01-27,Aberdeen City,18
2021-01-27,Aberdeenshire,25
2021-01-27,Angus,18
2021-01-27,Argyll & Bute,13
2021-01-27,City of Edinburgh,49
2021-01-27,Clackmannanshire,12
2021-01-27,Dumfries & Galloway,20
2021-01-27,Dundee City,28
2021-01-27,East Ayrshire,27
2021-01-27,East Dunbartonshire,22
2021-01-27,East Lothian,14
2021-01-27,East Renfrewshire,22
2021-01-27,Falkirk,50
2021-01-27,Fife,39
2021-01-27,Glasgow City,168
2021-01-27,Highland,19
2021-01-27,Inverclyde,16
2021-01-27,Midlothian,12
2021-01-27,Moray,11
2021-01-27,Na h-Eileanan Siar,4
2021-01-27,North Ayrshire,31
2021-01-27,North Lanarkshire,90
2021-01-27,Orkney Islands,0
2021-01-27,Perth & Kinross,20
2021-01-27,Renfrewshire,46
2021-01-27,Scottish Borders,11
2021-01-27,Shetland Islands,0
2021-01-27,South Ayrshire,20
2021-01-27,South Lanarkshire,78
2021-01-27,Stirling,18
2021-01-27,West Dunbartonshire,24
2021-01-27,West Lothian,34
2021-01-28,Aberdeen City,18
2021-01-28,Aberdeenshire,22
2021-01-28,Angus,20
2021-01-28,Argyll & Bute,14
2021-01-28,City of Edinburgh,50
2021-01-28,Clackmannanshire,14
2021-01-28,Dumfries & Galloway,21
2021-01-28,Dundee City,28
2021-01-28,East Ayrshire,27
2021-01-28,East Dunbartonshire,21
2021-01-28,East Lothian,14
2021-01-28,East Renfrewshire,21
2021-01-28,Falkirk,55
2021-01-28,Fife,37
2021-01-28,Glasgow City,158
2021-01-28,Highland,18
2021-01-28,Inverclyde,15
2021-01-28,Midlothian,12
2021-01-28,Moray,12
2021-01-28,Na h-Eileanan Siar,5
2021-01-28,North Ayrshire,28
2021-01-28,North Lanarkshire,90
2021-01-28,Orkney Islands,0
2021-01-28,Perth & Kinross,14
2021-01-28,Renfrewshire,45
2021-01-28,Scottish Borders,11
2021-01-28,Shetland Islands,0
2021-01-28,South Ayrshire,16
2021-01-28,South Lanarkshire,73
2021-01-28,Stirling,18
2021-01-28,West Dunbartonshire,23
2021-01-28,West Lothian,33
2021-01-29,Aberdeen City,18
2021-01-29,Aberdeenshire,22
2021-01-29,Angus,20
2021-01-29,Argyll & Bute,14
2021-01-29,City of Edinburgh,52
2021-01-29,Clackmannanshire,15
2021-01-29,Dumfries & Galloway,18
2021-01-29,Dundee City,27
