Date,Council,Deaths_per_LA
2021-01-18,West Lothian,1
2021-01-19,Aberdeen City,3
2021-01-19,Aberdeenshire,1
2021-01-19,Angus,2
2021-01-19,Argyll & Bute,0
2021-01-19,City of Edinburgh,3
2021-01-19,Clackmannanshire,0
2021-01-19,Dumfries & Galloway,1
2021-01-19,Dundee City,2
2021-01-19,East Ayrshire,2
2021-01-19,East Dunbartonshire,2
2021-01-19,East Lothian,1
2021-01-19,East Renfrewshire,1
2021-01-19,Falkirk,3
2021-01-19,Fife,2
2021-01-19,Glasgow City,7
2021-01-19,Highland,2
2021-01-19,Inverclyde,1
2021-01-19,Midlothian,0
2021-01-19,Moray,0
2021-01-19,Na h-Eileanan Siar,0
2021-01-19,North Ayrshire,1
2021-01-19,North Lanarkshire,4
2021-01-19,Orkney Islands,0
2021-01-19,Perth & Kinross,2
2021-01-19,Renfrewshire,2
2021-01-19,Scottish Borders,0
2021-01-19,Shetland Islands,0
2021-01-19,South Ayrshire,1
2021-01-19,South Lanarkshire,3
2021-01-19,Stirling,1
2021-01-19,West Dunbartonshire,0
2021-01-19,West Lothian,1
2021-01-20,Aberdeen City,2
2021-01-20,Aberdeenshire,2
2021-01-20,Angus,1
2021-01-20,Argyll & Bute,1
2021-01-20,City of Edinburgh,3
2021-01-20,Clackmannanshire,0
2021-01-20,Dumfries & Galloway,1
2021-01-20,Dundee City,2
2021-01-20,East Ayrshire,2
2021-01-20,East Dunbartonshire,1
2021-01-20,East Lothian,1
2021-01-20,East Renfrewshire,1
2021-01-20,Falkirk,3
2021-01-20,Fife,2
2021-01-20,Glasgow City,7
2021-01-20,Highland,2
2021-01-20,Inverclyde,1
2021-01-20,Midlothian,0
2021-01-20,Moray,0
2021-01-20,Na h-Eileanan Siar,0
2021-01-20,North Ayrshire,2
2021-01-20,North Lanarkshire,4
2021-01-20,Orkney Islands,0
2021-01-20,Perth & Kinross,2
2021-01-20,Renfrewshire,2
2021-01-20,Scottish Borders,1
2021-01-20,Shetland Islands,0
2021-01-20,South Ayrshire,0
2021-01-20,South Lanarkshire,3
2021-01-20,Stirling,1
2021-01-20,West Dunbartonshire,0
2021-01-20,West Lothian,0
2021-01-21,Aberdeen City,2
2021-01-21,Aberdeenshire,1
2021-01-21,Angus,1
2021-01-21,Argyll & Bute,1
2021-01-21,City of Edinburgh,3
2021-01-21,Clackmannanshire,0
2021-01-21,Dumfries & Galloway,1
2021-01-21,Dundee City,2
2021-01-21,East Ayrshire,2
2021-01-21,East Dunbartonshire,1
2021-01-21,East Lothian,1
2021-01-21,East Renfrewshire,1
2021-01-21,Falkirk,3
2021-01-21,Fife,2
2021-01-21,Glasgow City,7
2021-01-21,Highland,2
2021-01-21,Inverclyde,0
2021-01-21,Midlothian,0
2021-01-21,Moray,0
2021-01-21,Na h-Eileanan Siar,0
2021-01-21,North Ayrshire,2
2021-01-21,North Lanarkshire,4
2021-01-21,Orkney Islands,0
2021-01-21,Perth & Kinross,1
2021-01-21,Renfrewshire,2
2021-01-21,Scottish Borders,1
2021-01-21,Shetland Islands,0
2021-01-21,South Ayrshire,0
2021-01-21,South Lanarkshire,3
2021-01-21,Stirling,1
2021-01-21,West Dunbartonshire,0
2021-01-21,West Lothian,1
2021-01-22,Aberdeen City,1
2021-01-22,Aberdeenshire,1
2021-01-22,Angus,1
2021-01-22,Argyll & Bute,1
2021-01-22,City of Edinburgh,2
2021-01-22,Clackmannanshire,0
2021-01-22,Dumfries & Galloway,1
2021-01-22,Dundee City,2
2021-01-22,East Ayrshire,2
2021-01-22,East Dunbartonshire,1
2021-01-22,East Lothian,1
2021-01-22,East Renfrewshire,1
2021-01-22,Falkirk,3
2021-01-22,Fife,2
2021-01-22,Glasgow City,6
2021-01-22,Highland,1
2021-01-22,Inverclyde,0
2021-01-22,Midlothian,0
2021-01-22,Moray,0
2021-01-22,Na h-Eileanan Siar,0
2021-01-22,North Ayrshire,2
2021-01-22,North Lanarkshire,4
2021-01-22,Orkney Islands,0
2021-01-22,Perth & Kinross,1
2021-01-22,Renfrewshire,2
2021-01-22,Scottish Borders,1
2021-01-22,Shetland Islands,0
2021-01-22,South Ayrshire,1
2021-01-22,South Lanarkshire,3
2021-01-22,Stirling,1
2021-01-22,West Dunbartonshire,0
2021-01-22,West Lothian,1
2021-01-23,Aberdeen City,1
2021-01-23,Aberdeenshire,1
2021-01-23,Angus,1
2021-01-23,Argyll & Bute,1
2021-01-23,City of Edinburgh,3
2021-01-23,Clackmannanshire,0
2021-01-23,Dumfries & Galloway,1
2021-01-23,Dundee City,2
2021-01-23,East Ayrshire,2
2021-01-23,East Dunbartonshire,1
2021-01-23,East Lothian,1
2021-01-23,East Renfrewshire,1
2021-01-23,Falkirk,3
2021-01-23,Fife,2
2021-01-23,Glasgow City,6
2021-01-23,Highland,1
2021-01-23,Inverclyde,0
2021-01-23,Midlothian,1
2021-01-23,Moray,0
2021-01-23,Na h-Eileanan Siar,0
2021-01-23,North Ayrshire,2
2021-01-23,North Lanarkshire,4
2021-01-23,Orkney Islands,0
2021-01-23,Perth & Kinross,1
2021-01-23,Renfrewshire,2
2021-01-23,Scottish Borders,1
2021-01-23,Shetland Islands,0
2021-01-23,South Ayrshire,1
2021-01-23,South Lanarkshire,4
2021-01-23,Stirling,1
2021-01-23,West Dunbartonshire,0
2021-01-23,West Lothian,1
2021-01-24,Aberdeen City,1
2021-01-24,Aberdeenshire,1
2021-01-24,Angus,1
2021-01-24,Argyll & Bute,0
