Date,Council,Vaccinations_per_LA
2021-01-20,Dundee City,2558
2021-01-20,East Ayrshire,1731
2021-01-20,East Dunbartonshire,2036
2021-01-20,East Lothian,1902
2021-01-20,East Renfrewshire,1841
2021-01-20,Falkirk,2314
2021-01-20,Fife,5717
2021-01-20,Glasgow City,6614
2021-01-20,Highland,2435
2021-01-20,Inverclyde,1299
2021-01-20,Midlothian,1924
2021-01-20,Moray,1772
2021-01-20,Na h-Eileanan Siar,835
2021-01-20,North Ayrshire,1530
2021-01-20,North Lanarkshire,5228
2021-01-20,Orkney Islands,531
2021-01-20,Perth and Kinross,2532
2021-01-20,Renfrewshire,2480
2021-01-20,Scottish Borders,2460
2021-01-20,Shetland Islands,231
2021-01-20,South Ayrshire,1760
2021-01-20,South Lanarkshire,5250
2021-01-20,Stirling,1280
2021-01-20,West Dunbartonshire,1623
2021-01-20,West Lothian,2645
2021-01-21,Aberdeen City,4322
2021-01-21,Aberdeenshire,5828
2021-01-21,Angus,2162
2021-01-21,Argyll and Bute,1430
2021-01-21,City of Edinburgh,8290
2021-01-21,Clackmannanshire,868
2021-01-21,Dumfries and Galloway,3075
2021-01-21,Dundee City,2673
2021-01-21,East Ayrshire,1824
2021-01-21,East Dunbartonshire,2117
2021-01-21,East Lothian,1944
2021-01-21,East Renfrewshire,1885
2021-01-21,Falkirk,2378
2021-01-21,Fife,5937
2021-01-21,Glasgow City,6861
2021-01-21,Highland,2533
2021-01-21,Inverclyde,1312
2021-01-21,Midlothian,1954
2021-01-21,Moray,1799
2021-01-21,Na h-Eileanan Siar,853
2021-01-21,North Ayrshire,1656
2021-01-21,North Lanarkshire,5471
2021-01-21,Orkney Islands,542
2021-01-21,Perth and Kinross,2608
2021-01-21,Renfrewshire,2593
2021-01-21,Scottish Borders,2544
2021-01-21,Shetland Islands,245
2021-01-21,South Ayrshire,1861
2021-01-21,South Lanarkshire,5490
2021-01-21,Stirling,1319
2021-01-21,West Dunbartonshire,1675
2021-01-21,West Lothian,2704
2021-01-22,Aberdeen City,4552
2021-01-22,Aberdeenshire,5931
2021-01-22,Angus,2281
2021-01-22,Argyll and Bute,1438
2021-01-22,City of Edinburgh,8433
2021-01-22,Clackmannanshire,885
2021-01-22,Dumfries and Galloway,3134
2021-01-22,Dundee City,2823
2021-01-22,East Ayrshire,1917
2021-01-22,East Dunbartonshire,2196
2021-01-22,East Lothian,1969
2021-01-22,East Renfrewshire,1923
2021-01-22,Falkirk,2452
2021-01-22,Fife,6180
2021-01-22,Glasgow City,7146
2021-01-22,Highland,2638
2021-01-22,Inverclyde,1326
2021-01-22,Midlothian,1977
2021-01-22,Moray,1824
2021-01-22,Na h-Eileanan Siar,876
2021-01-22,North Ayrshire,1800
2021-01-22,North Lanarkshire,5708
2021-01-22,Orkney Islands,559
2021-01-22,Perth and Kinross,2719
2021-01-22,Renfrewshire,2715
2021-01-22,Scottish Borders,2611
2021-01-22,Shetland Islands,264
2021-01-22,South Ayrshire,1974
2021-01-22,South Lanarkshire,5748
2021-01-22,Stirling,1361
2021-01-22,West Dunbartonshire,1717
2021-01-22,West Lothian,2773
2021-01-23,Aberdeen City,4783
2021-01-23,Aberdeenshire,6035
2021-01-23,Angus,2400
2021-01-23,Argyll and Bute,1446
2021-01-23,City of Edinburgh,8576
2021-01-23,Clackmannanshire,902
2021-01-23,Dumfries and Galloway,3193
2021-01-23,Dundee City,2973
2021-01-23,East Ayrshire,2010
2021-01-23,East Dunbartonshire,2275
2021-01-23,East Lothian,1994
2021-01-23,East Renfrewshire,1961
2021-01-23,Falkirk,2526
2021-01-23,Fife,6423
2021-01-23,Glasgow City,7431
2021-01-23,Highland,2743
2021-01-23,Inverclyde,1340
2021-01-23,Midlothian,2000
2021-01-23,Moray,1849
2021-01-23,Na h-Eileanan Siar,899
2021-01-23,North Ayrshire,1945
2021-01-23,North Lanarkshire,5944
2021-01-23,Orkney Islands,576
2021-01-23,Perth and Kinross,2830
2021-01-23,Renfrewshire,2837
2021-01-23,Scottish Borders,2678
2021-01-23,Shetland Islands,283
2021-01-23,South Ayrshire,2087
2021-01-23,South Lanarkshire,6006
2021-01-23,Stirling,1403
2021-01-23,West Dunbartonshire,1759
2021-01-23,West Lothian,2842
2021-01-24,Aberdeen City,5015
2021-01-24,Aberdeenshire,6139
2021-01-24,Angus,2519
2021-01-24,Argyll and Bute,1454
2021-01-24,City of Edinburgh,8720
2021-01-24,Clackmannanshire,919
2021-01-24,Dumfries and Galloway,3252
2021-01-24,Dundee City,3123
2021-01-24,East Ayrshire,2103
2021-01-24,East Dunbartonshire,2354
2021-01-24,East Lothian,2019
2021-01-24,East Renfrewshire,1999
2021-01-24,Falkirk,2600
2021-01-24,Fife,6666
2021-01-24,Glasgow City,7716
2021-01-24,Highland,2849
2021-01-24,Inverclyde,1354
2021-01-24,Midlothian,2023
2021-01-24,Moray,1874
2021-01-24,Na h-Eileanan Siar,922
2021-01-24,North Ayrshire,2090
2021-01-24,North Lanarkshire,6180
2021-01-24,Orkney Islands,593
2021-01-24,Perth and Kinross,2941
2021-01-24,Renfrewshire,2959
2021-01-24,Scottish Borders,2745
2021-01-24,Shetland Islands,302
2021-01-24,South Ayrshire,2200
2021-01-24,South Lanarkshire,6264
2021-01-24,Stirling,1445
2021-01-24,West Dunbartonshire,1801
2021-01-24,West Lothian,2912
2021-01-25,Aberdeen City,5248
2021-01-25,Aberdeenshire,6243
2021-01-25,Angus,2638
2021-01-25,Argyll and Bute,1462
2021-01-25,City of Edinburgh,8863
2021-01-25,Clackmannanshire,936
2021-01-25,Dumfries and Galloway,3311
2021-01-25,Dundee City,3273
2021-01-25,East Ayrshire,2196
2021-01-25,East Dunbartonshire,2422
2021-01-25,East Lothian,2044
2021-01-25,East Renfrewshire,2042
2021-01-25,Falkirk,2674
2021-01-25,Fife,6909
2021-01-25,Glasgow City,8007
2021-01-25,Highland,2955
2021-01-25,Inverclyde,1368
2021-01-25,Midlothian,2046
2021-01-25,Moray,1899
2021-01-25,Na h-Eileanan Siar,945
2021-01-25,North Ayrshire,2247
2021-01-25,North Lanarkshire,6399
2021-01-25,Orkney Islands,610
2021-01-25,Perth and Kinross,3052
2021-01-25,Renfrewshire,3070
2021-01-25,Scottish Borders,2812
2021-01-25,Shetland Islands,321
2021-01-25,South Ayrshire,2313
2021-01-25,South Lanarkshire,6521
2021-01-25,Stirling,1487
