_id,Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
113,20200306,S08000025,NHS Orkney,0,0,0,0,0,0,0,2,3,13.4710372698698,2,0,0,0,2,0,,:,,:,0,0
114,20200306,S08000026,NHS Shetland,2,2,8.7260034904014,8.7260034904014,0,0,0,0,2,8.7260034904014,2,2,100,40,2,0,,:,,:,2,0
115,20200306,S08000028,NHS Western Isles,0,0,0,0,0,0,0,1,3,11.2275449101796,2,0,0,0,2,0,,:,,:,0,0
116,20200306,S08000029,NHS Fife,0,2,0.535403560433677,0.535403560433677,0,0,0,7,60,16.0621068130103,13,1,7.69230769230769,5.08474576271186,13,0,,:,,:,1,0
117,20200306,S08000030,NHS Tayside,0,1,0.239538170407454,0,0,0,0,16,73,17.4862864397442,41,1,2.4390243902439,5.22875816993464,41,0,,:,,:,1,0
118,20200306,S08000031,NHS Greater Glasgow & Clyde,1,3,0.253566840219082,0.253566840219082,0,0,0,75,398,33.6398674690648,101,1,0.99009900990099,1.0121457489878498,101,0,,:,,:,1,0
119,20200306,S08000032,NHS Lanarkshire,1,2,0.302160447197462,0.302160447197462,0,0,0,24,148,22.3598730926122,32,1,3.125,1.1173184357541899,32,0,,:,,:,1,0
120,20200306,S92000003,Scotland,6,21,0.384383065180385,0.366079109695605,0,0,0,214,1303,23.8500539966687,324,12,3.7037037037037,2.6599113362887903,324,0,21,"",,:,12,0
121,20200307,S08000015,NHS Ayrshire & Arran,1,2,0.541477149664284,0.541477149664284,0,0,0,8,86,23.2835174355642,15,1,6.66666666666667,3.125,15,0,,:,,:,1,0
122,20200307,S08000016,NHS Borders,0,0,0,0,0,0,0,2,23,19.91169595706,2,0,0,0,2,0,,:,,:,0,0
123,20200307,S08000017,NHS Dumfries & Galloway,0,0,0,0,0,0,0,7,79,53.0699986564557,7,0,0,0,7,0,,:,,:,0,0
124,20200307,S08000019,NHS Forth Valley,0,3,0.978345943125489,0.978345943125489,0,0,0,11,119,38.8077224106444,26,2,7.69230769230769,5.988023952095809,26,0,,:,,:,2,0
125,20200307,S08000020,NHS Grampian,2,6,1.02441522963975,1.02441522963975,0,0,0,9,67,11.4393033976438,15,3,20,11.363636363636399,15,0,,:,,:,3,0
